epoch,categorical_accuracy,fscore,loss,val_categorical_accuracy,val_fscore,val_loss
0,0.759205222129822,0.0278063956648111,1.21707606315613,0.816977143287659,0.0519774481654167,150.069564819336
1,0.835568010807037,0.0507801286876202,0.61106264591217,0.818380534648895,0.105754144489765,0.972510695457459
2,0.863348484039307,0.0665855333209038,0.480697363615036,0.847108364105225,0.0889933630824089,0.638521790504456
3,0.882933616638184,0.0749001204967499,0.398868560791016,0.855604887008667,0.114823713898659,0.819477438926697
4,0.895937085151672,0.0800289511680603,0.349238663911819,0.869633078575134,0.0905330777168274,0.499494463205338
5,0.907495617866516,0.087680771946907,0.305339783430099,0.873091697692871,0.10981647670269,0.511224687099457
6,0.906569838523865,0.0901521742343903,0.306565284729004,0.886554479598999,0.107330039143562,0.483454078435898
7,0.916193544864655,0.0933499783277512,0.267014116048813,0.891139626502991,0.114351958036423,0.418041348457336
8,0.921146512031555,0.0981697961688042,0.253708451986313,0.906988382339478,0.105731196701527,0.402369230985642
9,0.926989912986755,0.100985787808895,0.232884109020233,0.905951678752899,0.126011788845062,0.538083016872406
10,0.931055426597595,0.102075822651386,0.217994689941406,0.883635520935059,0.115547657012939,0.557012438774109
11,0.934601485729218,0.103292115032673,0.20615753531456,0.885829269886017,0.126635685563087,0.734396040439606
12,0.928787231445313,0.10164126008749,0.227054074406624,0.906408846378326,0.114990636706352,0.426757752895355
13,0.937090814113617,0.104965969920158,0.198059484362602,0.892009913921356,0.112868271768093,0.894562244415283
14,0.936975836753845,0.105697222054005,0.197354897856712,0.910007357597351,0.119609370827675,0.375491708517075
15,0.939451277256012,0.108832180500031,0.19054003059864,0.909199595451355,0.114444300532341,0.402889221906662
16,0.939386904239655,0.108968786895275,0.188878521323204,0.903637230396271,0.123364433646202,0.341213494539261
17,0.941617667675018,0.107892893254757,0.180264949798584,0.89286994934082,0.11895228177309,0.427131831645966
18,0.94464236497879,0.109679609537125,0.171125814318657,0.893852889537811,0.131653472781181,0.699554026126862
19,0.946786403656006,0.11002267152071,0.163866519927979,0.915437936782837,0.119175463914871,0.572832405567169
20,0.947872757911682,0.112309210002422,0.15755107998848,0.90877777338028,0.125129491090775,0.427155315876007
21,0.950368463993073,0.113823592662811,0.152682572603226,0.904633224010468,0.114434696733952,0.39914870262146
22,0.950154542922974,0.112590722739697,0.1517214179039,0.918920874595642,0.127057686448097,0.405864626169205
23,0.948284983634949,0.111545205116272,0.156679660081863,0.905894696712494,0.120726272463799,0.383759588003159
24,0.950474560260773,0.112247571349144,0.150147944688797,0.902462959289551,0.123020604252815,0.532204389572144
25,0.954151391983032,0.114624001085758,0.137237057089806,0.921850979328156,0.123960062861443,0.299382120370865
26,0.955886483192444,0.115895606577396,0.13026262819767,0.906855821609497,0.121800869703293,0.357794106006622
