bacteria,recall,precision,fscore
Acinetobacter.baumanii,0.694867401305553,0.966809389725244,0.808586040104037
Actinomyces.israeli,0.956281254812846,0.997928399762435,0.976661045660016
Bacteroides.fragilis,0.672866007826104,0.93375718593562,0.782129216631513
Bifidobacterium.spp,0.978752005242819,0.696039049415896,0.8135338595798
Candida.albicans,0.937997660136123,0.977268995207858,0.957230710690691
Clostridium.perfringens,0.96140497386363,0.945687222010528,0.953481327150472
Enterococcus.faecalis,0.554210580044509,0.790232615550867,0.651504321892291
Enterococcus.faecium,0.871630769135117,0.962573091384722,0.914847408242447
Escherichia.coli,0.983466907738043,0.09370299942357,0.171103552886484
Fusobacterium,0.985161984524601,0.811692015101772,0.890053523087249
Lactobacillus.casei,0.822471302676207,0.901386151337356,0.86012244269809
Lactobacillus.crispatus,0.988720723296038,0.898810387763264,0.941624168723295
Lactobacillus.delbrueckii,0.485236311639593,0.751636214125358,0.589747409922251
Lactobacillus.gasseri,0.982862738035748,0.884033230152403,0.930832071961076
Lactobacillus.jehnsenii,0.43817429443514,0.98632866243361,0.606785494770753
Lactobacillus.johnsonii,0.977404445920208,0.180084357827118,0.304132966834873
Lactobacillus.paracasei,0.951260389877542,0.563299604474534,0.707591120019703
Lactobacillus.plantarum,0.780947978572192,0.864975831375468,0.82081700616258
Lactobacillus.reuteri,0.117984058452341,0.00354182287977701,0.00687719575607814
Lactobacillus.rhamnosus,0.345674303889944,0.866840078946769,0.494252843702855
Lactobacillus.salivarius,0.871118962432466,0.998361435898381,0.930409945938864
Listeria.monocytogenes,0.990535509675286,0.984946891683185,0.98773329560981
Micrococcus.spp,0.968402004212254,0.983436035740084,0.975861120166003
Neisseria.gonorrhoeae,0.943502584744897,0.865707917814671,0.90293269571087
Porfyromonas.gingivalis,0.389909382946611,0.434269515199165,0.410895641916522
Propionibacterium.acnes,0.860108178940634,0.947382338324858,0.901638254799679
Proteus,0.729386005399808,0.971183985425632,0.833094799343169
Pseudomonas.aeruginosa,0.943857920357938,0.742441872296821,0.831121067114073
Staphylococcus.aureus,0.769037021933043,0.567361116248788,0.65298160890016
Staphylococcus.epidermidis,0.371206349454299,0.36485774444318,0.36800466836451
Staphylococcus.saprophiticus,0.94776769722344,0.604470347484939,0.738156716656541
Streptococcus.agalactiae,0.933725161476369,0.985892589429247,0.959100025855555
Veionella,0.773794954040127,0.983410735434188,0.866100388117356
background,0.982224199483722,0.980325632464554,0.981273997639055
,,,
average,0.750624057429668,,
